repeat_family	C_meth_in_repeat	n	sem	C_meth_not_in_repeat	n	sem	ttest_C	CpG_meth_in_repeat	n	sem	CpG_meth_not_in_repeat	n	sem	ttest_CpG	CHG_meth_in_repeat	n	sem	CHG_meth_not_in_repeat	n	sem	ttest_CHG	CHH_meth_in_repeat	n	sem	CHH_meth_not_in_repeat	n	sem	ttest_CHH
DNA	82.63036724678707	9473	0.2633581026905322	84.6593856470289	739458	0.028827290276389327	2.0583915289124093e-14	85.57591335400264	5411	0.3313091687647783	87.31162826714763	456030	0.034255164195073726	1.944591576290339e-07	79.15013245441402	662	1.1055381668191129	80.98460721026727	72913	0.10311983796577381	0.09896495785767413	78.62023943690693	3400	0.45243794910210733	80.18672060229032	210515	0.057286219804569695	0.0005996763760157116
LINE	90.20570781638355	43783	0.101932709256425	84.28775371324146	705148	0.029723427063034633	0.0	90.86779365226101	28843	0.11986936701817416	87.05281423749919	432598	0.03542961851645861	7.23664236860766e-202	87.3112047366017	3005	0.4601811469080982	80.69800032554275	70570	0.10511991467577404	2.2625319571747928e-43	89.33444179129191	11935	0.2053393470391895	79.61981255024043	201980	0.05873524529678105	0.0
LTR	77.08468364541285	16656	0.2077254753096284	84.80542824746375	732275	0.028895331635510897	1.0482882629860215e-285	75.9204865414528	5685	0.3567484070617964	87.43311144524193	455756	0.0341612761387631	1.6683514169347582e-208	80.99704623628746	2816	0.4913645029775237	80.96694937754427	70759	0.10495697128858891	0.9522389138712853	76.54529032599042	8155	0.2976292709316417	80.30515872408718	205760	0.0578745228767669	5.098252499119584e-35
Low_complexity	80.16850512158133	2313	0.5870167589334679	84.64755431608037	746618	0.028687888127031474	3.6391784148477927e-14	80.15579953125162	1601	0.7026656958854913	87.3161179340125	459840	0.03410214336882888	1.2679562395996013e-23	74.12710168702262	140	2.589209661034304	80.9811433100137	73435	0.10274841825368802	0.00910448325547373	81.68273262325283	572	1.1621214876375352	80.15774493944554	213343	0.056900965188321904	0.19049215915992562
RC	77.26154075766209	2390	0.540043648778811	84.65732274355823	746541	0.028693769696202985	4.702790037211783e-41	72.88708991696758	620	1.1173160432760623	87.31065448422993	460821	0.03408061537543507	6.542430376226003e-34	81.59329624905612	366	1.3210751486786059	80.96497571036191	73209	0.10297843560043313	0.6356555288197507	78.064059996537	1404	0.6883430949841547	80.17568201853783	212511	0.05702730568093475	0.002275694752240116
SINE	95.57291662693024	64	1.750621416055089	84.63278632126317	748867	0.028659933863719532	3.9878273191499345e-08	97.48427668157613	53	1.4476447889095139	87.29010385870832	461388	0.034079878246596855	4.249884554083115e-09	75.0	2	25.0	80.96826353699102	73573	0.10267784774061166	0.8508119711078745	88.88888888888889	9	7.349309197401642	80.16145550698265	213906	0.05683544868050092	0.26909311055299323
Satellite	76.12619829980012	4280	0.417455567402103	84.68261955195973	744651	0.028713021394959036	8.789728817039335e-89	78.75881664174779	1468	0.6700682028967995	87.31850600577808	459973	0.03411116116636084	1.9531337878856778e-35	77.38497457414303	848	0.9355012844548837	81.00988071511497	72727	0.10328973036312952	0.00012607007477401886	73.6149325123144	1964	0.6385838789234913	80.22248809499575	211951	0.05703812609986979	2.657679929319219e-24
Simple_repeat	76.84737429057465	40309	0.15413882830876666	85.07663698054921	708622	0.028902612707129828	0.0	78.48844475390331	29415	0.17009943011806872	87.89062580351593	432026	0.03431567454478566	0.0	55.65600486959552	3830	0.6060055431121327	82.35809813687703	69745	0.10046253203537037	0.0	81.50349790375945	7064	0.3533883841698159	80.11600423727454	206851	0.05751999644327128	0.00010742624627157214
Unknown	78.99953382277434	94911	0.08568883921624496	85.45135119118098	654020	0.030236670768388825	0.0	78.67471376614289	43519	0.12735400009420192	88.18853335655234	417922	0.03491940383046375	0.0	79.89062658401355	10964	0.2635427053046975	81.1567811301515	62611	0.1114652222849929	9.717715646201433e-06	79.10752588298799	40428	0.1286806061597307	80.40750745173524	173487	0.06332388309359274	1.2896563514823067e-19
rRNA	74.70588033339557	17	8.59780785713772	84.63394656895697	748914	0.028658080287775042	0.26516242091241127	80.0	4	20.0	87.29133794174685	461437	0.034076691389893	0.7396176917839021	75.0	6	15.811388300841898	80.96858803581726	73569	0.10267767912228502	0.7213089045304839	71.42856652396065	7	13.468702906085715	80.16210848453991	213908	0.056834229233946675	0.5407148654291137
snRNA	80.02361125449339	120	2.7415439104128714	84.63446000039926	748811	0.028659281276898162	0.09523890607274789	87.52059821195381	86	2.020555439646032	87.29123198920487	461355	0.034081036274784426	0.909901440429116	35.946000061929226	16	11.301220142009917	80.9778941693885	73559	0.10264179443970227	0.0011960309837946287	83.38477240668402	18	5.916270775178734	80.16155147465047	213897	0.05683662427966796	0.592978266112778
all_repeats	80.83678537040699	214316	0.05807377963398819	86.15583357606009	534615	0.03247489266494161	0.0	81.83276027609922	116705	0.07723982945430602	89.13916973511232	344736	0.03684617659581644	0.0	76.7590864595265	22655	0.20402940417078697	82.84074920397617	50920	0.11639017281633181	1.5667908759267042e-146	80.51853222799257	74956	0.09600564661478139	79.96940968195813	138959	0.07051291775774811	4.031968987822345e-06
