repeat_family	C_meth_in_repeat	n	sem	C_meth_not_in_repeat	n	sem	ttest_C	CpG_meth_in_repeat	n	sem	CpG_meth_not_in_repeat	n	sem	ttest_CpG	CHG_meth_in_repeat	n	sem	CHG_meth_not_in_repeat	n	sem	ttest_CHG	CHH_meth_in_repeat	n	sem	CHH_meth_not_in_repeat	n	sem	ttest_CHH
DNA	82.48395291140653	8545	0.30873930110635567	87.76436408229682	524052	0.03359161952037497	8.23808972573887e-64	82.59992537067826	4883	0.41214013008043204	89.59999059034564	278846	0.04253987220275265	2.5804494106602262e-62	70.23393944669778	710	1.3365896108218596	81.4772447019397	66437	0.12095768301653767	2.814801641898646e-16	85.23842989017324	2952	0.46475382173105745	87.23765218599156	178769	0.05621466596974518	2.0096620496627348e-05
LINE	93.41614551489776	35469	0.09922893509330431	87.27035821441535	497128	0.03504081878642506	0.0	94.6393114377766	17019	0.12574775942922284	89.15026797038364	266710	0.04435252218353242	0.0	89.72236207878123	3526	0.4167861930728334	80.89481074771129	63621	0.12490391431932868	2.280332643651156e-87	92.8939811859157	14924	0.15815133962959246	86.6961750718221	166797	0.058982373348093746	2.1921259209363687e-285
LTR	86.63929728710892	12296	0.20906165030116683	87.70423102058518	520301	0.033865025118597306	5.013852158507472e-07	86.03169648462581	4143	0.36159685646809103	89.53060987747861	279586	0.04272634489537098	1.2077268913195674e-21	88.06730547178901	2095	0.4924266437588691	81.14229844288454	65052	0.12336739336422745	7.64969828829932e-41	86.56098975620478	6058	0.29962796676173714	87.22739115653398	175663	0.056809693991587376	0.028912239811413575
Low_complexity	81.18078395307768	2032	0.6493553481019512	87.70453488392775	530565	0.033465357284487504	3.7098647283860577e-23	82.21250596838276	1096	0.8366088966961931	89.50769904858666	282633	0.04247190499693133	1.107944117357288e-17	73.26930920742265	199	2.507965753544944	81.38240441443577	66948	0.12070838918187642	0.0014427130233807964	81.78270545322827	737	1.0849385712775736	87.22725674509508	180984	0.055864601070005994	6.756908071329005e-07
RC	85.58301831348591	1895	0.5374368272744185	87.68713154271083	530702	0.033498150665742854	9.650487000662155e-05	83.42460416790176	523	1.1086851370672923	89.49070056340872	283206	0.04246580490339396	7.07950232431681e-08	87.64137121289968	256	1.3979081061619343	81.33431421625362	66891	0.12092513785271124	1.0502215068657479e-05	86.12236621302944	1116	0.6766286340777706	87.21186638232372	180605	0.05600626445258532	0.10883884862749887
SINE	98.37209302325581	43	1.242039215508722	87.67878168915036	532554	0.033436397272229745	8.013011786988936e-11	97.74193548387096	31	1.717066604588314	89.47861603444699	283698	0.04244340807199696	3.9599918596191515e-05	100.0	1	NA	81.35808243633161	67146	0.12059228881663973	NA	100.0	11	0.0	87.20440090624245	181710	0.05582031318720927	0.0
Satellite	86.18914431379878	2830	0.45169640524719773	87.68760724106207	529767	0.033525681812544214	0.0009502230328778659	87.64551659182654	967	0.7282192795015799	89.48579086721782	282762	0.04251133056031735	0.011801210464900075	87.25476228193803	550	1.0074627693073288	81.30966385895546	66597	0.12128431468678788	7.924728837771667e-09	84.67017868140773	1313	0.6924239510591569	87.2236250280732	180408	0.05599519823259162	0.0002466489095836146
Simple_repeat	67.06712743855506	52219	0.15812030094637702	89.9203077076175	480378	0.03117766714797633	0.0	70.01448039375522	30176	0.19482059785653968	91.79610358141527	253553	0.03897105059873656	0.0	40.41983484904338	8879	0.39113061239837416	87.59665836557402	58268	0.10348366968650967	0.0	78.28423379879163	13164	0.2773791942266015	87.90188502966963	168557	0.05578739946625646	1.349204283478876e-243
Unknown	85.70212899240559	74526	0.08731735164788335	88.00137759953317	458071	0.036162639985806835	2.3299958797667194e-130	85.03436254133631	32676	0.13376100447360217	90.05808168530086	251053	0.04456234606357571	8.203545637375058e-274	86.43519987735918	8784	0.25990088954917495	80.59426361816904	58363	0.13282516772897338	7.585655505851569e-88	86.16727875051687	33066	0.12832789821181895	87.43603948409893	148655	0.061959864722017005	5.594242872264718e-19
rRNA	100.0	11	0.0	87.6793905654369	532586	0.033434706337164055	0.0	100.0	2	0.0	89.47944471883375	283727	0.042439748536170094	0.0	100.0	3	0.0	81.35752715462175	67144	0.1205952416663958	0.0	100.0	6	0.0	87.20475298502224	181715	0.05581899932225217	0.0
snRNA	84.71732444763184	115	2.4569888627744367	87.68028480093656	532482	0.033437097723153106	0.23038276386469358	88.63355127970378	90	2.042543544282157	89.47978730754716	283639	0.04244804610149634	0.6797119734682127	64.4683666229248	15	10.707623845260118	81.36213397143804	67132	0.12059167096010617	0.13696661895129475	79.84471969604492	10	12.418429026494268	87.20558051783523	181711	0.05581658219061367	0.5679530431395194
all_repeats	81.8969348448336	189981	0.06629144687234126	90.88616505045721	342616	0.03557955295962298	0.0	81.77921964635111	91606	0.0937199416929788	93.15109183604723	192123	0.04140007641617133	0.0	70.15894908965163	25018	0.23493501310050788	88.00904875370928	42129	0.12107973925197396	0.0	86.04710928074742	73357	0.09210225519650125	87.98912824522469	108364	0.06971496513592491	2.2711881671218118e-63
