repeat_family	meth_CpG	meth_CHG	meth_CHH	unmeth_CpG	unmeth_CHG	unmeth_CHH	within_meth_C	outside_meth_C	odds_ratio_meth_C	fisher_p_meth_C	within_meth_CpG	outside_meth_CpG	odds_ratio_meth_CpG	fisher_p_meth_CpG	within_meth_CHG	outside_meth_CHG	odds_ratio_meth_CHG	fisher_p_meth_CHG	within_meth_CHH	outside_meth_CHH	odds_ratio_meth_CHH	fisher_p_meth_CHH
DNA	10034	1436	5536	714518	611933	3428666	0.011907479319804674	0.9880925206801954	0.9391516235374024	2.3651044074284506e-16	0.010724152857119954	0.9892758471428801	0.960036899438788	5.0214295379824404e-05	0.010048914983100189	0.9899510850168998	1.2157358567049994	9.8149772299451e-13	0.015833790957349443	0.9841662090426505	1.0980429768918814	1.0757743624418863e-11
LINE	73980	8490	32286	5421250	7304349	39039675	0.08035132875593938	0.9196486712440606	0.5461253028763605	0.0	0.07906845010661094	0.9209315498933891	0.9276070771140207	3.1371167579001905e-86	0.05941176058949903	0.940588239410501	0.5758933584985577	0.0	0.09234280615046678	0.9076571938495333	0.5170195724663663	0.0
LTR	8056	3948	11487	690789	722211	2298893	0.016448229842498625	0.9835517701575014	1.6742568331941938	0.0	0.008610103190846955	0.991389896809153	0.7958602089444338	2.5123859880611212e-98	0.027627518351865978	0.9723724816481341	2.878914748606139	0.0	0.03285454420647996	0.9671454557935201	3.4745987866252652	0.0
Low_complexity	3943	446	1480	121600	146441	1032803	0.004109431737500508	0.9958905682624994	1.1864491213386967	6.6798585184327725e-37	0.004214205173970897	0.9957857948260291	2.222910989065046	0.0	0.0031210418401550724	0.996878958159845	1.5768189374819688	4.0930087814776433e-19	0.004233022149002379	0.9957669778509977	0.9730323586419298	0.3035858043147489
RC	827	476	1867	20872	22639	83188	0.0022196112809467726	0.9977803887190533	6.587705192564936	0.0	0.0008838822416621689	0.9991161177583379	2.7114689685342923	4.2948047056928115e-131	0.003330977389941288	0.9966690226100587	10.906344720563617	1.6057479807143155e-306	0.005339900237964488	0.9946600997620355	15.317601184767243	0.0
SINE	133	15	33	5583	5203	20007	0.00012673490279222898	0.9998732650972078	1.544812082145778	4.35983946863674e-08	0.00014214793003756768	0.9998578520699625	1.6294036825104397	2.113167477142769e-07	0.00010496777489310781	0.9998950322251069	1.490959943715817	0.11480839250620826	9.438495332235035e-05	0.9999056150466776	1.1201350073156735	0.5174962017490619
Satellite	2086	1280	2998	65698	85116	510494	0.004456027189888095	0.9955439728101119	2.5358860997655537	0.0	0.002229478060589219	0.9977705219394107	2.174233706583266	2.2835711131464466e-212	0.008957250124211866	0.9910427498757881	7.838255471163717	0.0	0.008574730001830497	0.9914252699981695	4.014026682775494	0.0
Simple_repeat	61748	19486	23213	1569373	2753708	15321953	0.07313304083944719	0.9268669591605528	1.4285900400232179	0.0	0.06599511566887013	0.9340048843311298	2.8105086073556333	0.0	0.1363601374378066	0.8636398625621934	4.079375320624611	0.0	0.06639266428702179	0.9336073357129783	1.030899333192005	8.321247141281538e-06
Unknown	67082	17442	55589	2407639	2758944	12277438	0.09810611842501425	0.9018938815749857	2.2317081894073	0.0	0.0716959958103768	0.9283040041896232	1.9755600818594656	0.0	0.12205652864570576	0.8779434713542942	3.584894772016696	0.0	0.1589928839465495	0.8410071160534505	3.467027377480561	0.0
rRNA	13	4	12	706	704	1897	2.0305592160080888e-05	0.99997969440784	2.3046154449715353	5.7076793522190984e-05	1.3894158575100599e-05	0.9999861058414249	1.2593914114728335	0.43010827476847996	2.7991406638162084e-05	0.9999720085933619	2.9383862470552535	0.049837866246213135	3.43218012081274e-05	0.9999656781987919	4.295951381147095	3.749708516937577e-05
snRNA	127	25	25	2608	1697	7534	0.00012393413145980403	0.9998760658685402	3.929416340668201	1.0898155249690173e-49	0.0001357352414644443	0.9998642647585355	3.330874121006312	3.859414678323756e-29	0.00017494629148851303	0.9998250537085115	7.619697131622703	2.5507782523019496e-14	7.150375251693209e-05	0.999928496247483	2.253542086210498	0.0002430667890432241
sum_repeats	228029	53048	134526	11020636	14412945	74022548	0.2910022420174516	0.7089977579825484	1.13848881020217	0.0	0.2437131604401242	0.7562868395598759	1.5489396144682832	0.0	0.3712220348353056	0.6287779651646944	2.436753450839143	0.0	0.38476455244371227	0.6152354475562878	1.38062414456947	0.0
not_repeats	707616	89853	215106	52972285	59487797	163412694																	
