repeat_family	meth_CpG	meth_CHG	meth_CHH	unmeth_CpG	unmeth_CHG	unmeth_CHH	within_meth_C	outside_meth_C	odds_ratio_meth_C	fisher_p_meth_C	within_meth_CpG	outside_meth_CpG	odds_ratio_meth_CpG	fisher_p_meth_CpG	within_meth_CHG	outside_meth_CHG	odds_ratio_meth_CHG	fisher_p_meth_CHG	within_meth_CHH	outside_meth_CHH	odds_ratio_meth_CHH	fisher_p_meth_CHH
DNA	9536	1252	4146	715016	612117	3430056	0.009596360400073254	0.9904036395999267	0.7545119194355325	3.212216237171567e-281	0.00865130068894691	0.9913486993110531	0.7702757917737271	2.357195323460364e-152	0.008863026596158884	0.9911369734038411	1.0706813209596102	0.017297775713541404	0.013259053637445154	0.9867409463625548	0.9168582584733596	1.9344691652797165e-08
LINE	85061	8845	29135	5410169	7303994	39042826	0.07906426811205393	0.9209357318879461	0.5365137603685797	0.0	0.07716949327836757	0.9228305067216325	0.9029125578891428	3.180006176747588e-182	0.06261459284586687	0.9373854071541331	0.6090608470026591	0.0	0.09317475343149169	0.9068252465685083	0.5222029575128964	0.0
LTR	7504	3246	9010	691341	722913	2301370	0.012697474320707614	0.9873025256792923	1.2858103087446107	2.361139716366807e-248	0.006807818830731714	0.9931921811692683	0.6259682628623645	0.0	0.022978741478539726	0.9770212585214603	2.3808138754171573	0.0	0.028814296496232714	0.9711857035037673	3.0318150974986695	0.0
Low_complexity	3973	405	1214	121570	146482	1033069	0.0035933338259816284	0.9964066661740184	1.036330848857187	0.008194352626236901	0.003604406211953238	0.9963955937880468	1.8956022743386802	6.197782154392173e-284	0.002867033363773441	0.9971329666362265	1.4477453470324513	2.2139786365920144e-12	0.0038824146444424545	0.9961175853555575	0.8920337807962971	5.690004476289155e-05
RC	697	380	1515	21002	22735	83540	0.0016655796274936303	0.9983344203725064	4.91649850634362	0.0	0.0006323360507755869	0.9993676639492244	1.9222893679889932	1.647463612529911e-53	0.002690055995639278	0.9973099440043607	8.7651837335847	3.7274492428917495e-213	0.004845023217735024	0.9951549767822649	13.83472747042564	0.0
SINE	183	14	43	5533	5204	19997	0.00015422033587903986	0.9998457796641209	1.882858998732295	8.125378610289217e-19	0.00016602223427823875	0.9998339777657218	1.9153129230415475	3.676158468240585e-15	9.910732615513128e-05	0.9999008926738449	1.4074707208653576	0.20067606886647038	0.000137515510470367	0.9998624844895296	1.633137440286504	0.0023881023370563473
Satellite	1741	1030	2327	66043	85366	511165	0.003275896967963938	0.9967241030320361	1.857877655982967	0.0	0.0015794792889530802	0.9984205207110469	1.5272978145408882	4.8289029529210067e-60	0.007291467567127515	0.9927085324328725	6.351331001315206	0.0	0.007441827741035908	0.9925581722589641	3.475677232541296	0.0
Simple_repeat	50979	16720	16343	1580142	2756474	15328823	0.05400410611644278	0.9459958938835572	1.0320880969520465	9.019107369473676e-19	0.046249439788362476	0.9537505602116375	1.9102408691920953	0.0	0.11836246380812822	0.8816375361918718	3.46513333536968	0.0	0.05226548808412112	0.9477345119158789	0.7991951498797654	8.5034449460825e-183
Unknown	64771	15525	46327	2409950	2760861	12286700	0.0813660066250486	0.9186339933749514	1.8150548061880833	0.0	0.05876189145593334	0.9412381085440666	1.5910076315330541	0.0	0.10990294561131522	0.8900970543886848	3.1816365924288736	0.0	0.14815537333862075	0.8518446266613793	3.1875877717086936	0.0
rRNA	9	4	13	710	704	1896	1.670720305356265e-05	0.9999832927969464	1.8938388270661033	0.002628808309919616	8.165027915323218e-06	0.9999918349720847	0.7340028336072687	0.46806756456029097	2.831637890146608e-05	0.9999716836210986	2.9725670071378603	0.0481569678115768	4.157445665383189e-05	0.9999584255433461	5.2073357494751065	2.4262728053772277e-06
snRNA	127	20	19	2608	1702	7540	0.00010666906564966923	0.9998933309343503	3.37766510183846	7.823617518038031e-39	0.00011521761613844984	0.9998847823838616	2.8199622200090677	5.099791549071769e-23	0.0001415818945073304	0.9998584181054927	6.148343043868207	3.611039007424441e-10	6.076266741713891e-05	0.9999392373325828	1.9137747827683231	0.009631752065103305
sum_repeats	224581	47441	110092	11024084	14418552	74046982	0.24554062260034765	0.7544593773996524	0.9019121047260119	0.0	0.20374557047235595	0.796254429527644	1.2255921847565794	0.0	0.33583933286611306	0.6641606671338869	2.086102684691179	0.0	0.35207808322566614	0.6479219167743339	1.1993004131169769	0.0
not_repeats	877681	93820	202600	52802220	59483830	163425200																	
